City,JoiningYear,Education,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
Bangalore,2017,Bachelors,3,25,Female,No,3,NO
New Delhi,2014,Masters,3,27,Male,No,5,NO
Bangalore,2016,Bachelors,3,27,Male,No,5,NO
Bangalore,2016,Bachelors,3,28,Female,No,3,NO
Pune,2018,Bachelors,3,25,Male,No,3,YES
Bangalore,2013,Bachelors,3,26,Male,Yes,4,YES
New Delhi,2015,Bachelors,3,25,Male,No,3,YES
New Delhi,2017,Bachelors,2,25,Female,No,3,YES
Bangalore,2012,Bachelors,3,25,Male,Yes,3,NO
New Delhi,2014,Bachelors,3,28,Female,No,2,NO
New Delhi,2017,Bachelors,2,27,Female,No,5,NO
Pune,2018,Bachelors,3,26,Male,No,4,YES
New Delhi,2014,Masters,3,28,Male,No,2,NO
Bangalore,2013,Bachelors,3,27,Male,No,5,YES
Pune,2017,Masters,3,25,Male,No,3,YES
Bangalore,2018,Bachelors,3,28,Male,No,2,YES
Bangalore,2016,Bachelors,3,24,Male,No,2,NO
Bangalore,2012,Bachelors,3,24,Male,Yes,2,NO
Bangalore,2015,Bachelors,3,28,Female,No,1,NO
Bangalore,2014,Bachelors,3,24,Male,No,2,NO
Pune,2013,Bachelors,3,27,Male,No,5,NO
New Delhi,2016,Bachelors,3,24,Female,No,2,NO
Bangalore,2012,Bachelors,3,25,Female,No,3,NO
Pune,2012,Bachelors,3,28,Male,No,3,NO
Pune,2018,Bachelors,3,25,Male,Yes,3,YES
Bangalore,2014,Bachelors,3,27,Male,No,5,YES
Bangalore,2016,Bachelors,3,27,Female,No,5,NO
Pune,2015,Masters,2,24,Female,No,2,NO
Bangalore,2014,Masters,3,24,Female,No,2,YES
Bangalore,2013,Bachelors,3,25,Male,No,3,NO
New Delhi,2017,Masters,3,24,Male,No,2,NO
Bangalore,2015,Bachelors,3,25,Male,No,3,NO
Bangalore,2017,Bachelors,3,24,Male,No,2,NO
New Delhi,2017,Bachelors,2,28,Male,No,3,NO
Bangalore,2016,Bachelors,3,28,Male,No,2,NO
New Delhi,2014,PHD,3,24,Male,No,2,NO
New Delhi,2017,Masters,2,26,Female,No,4,NO
New Delhi,2018,Masters,3,25,Male,No,3,YES
Bangalore,2014,Bachelors,3,28,Male,No,3,YES
Bangalore,2014,Bachelors,3,25,Male,No,3,YES
New Delhi,2018,Bachelors,3,28,Female,No,3,YES
New Delhi,2017,Masters,2,25,Male,Yes,3,YES
New Delhi,2013,Masters,3,28,Male,No,2,NO
Bangalore,2014,Bachelors,3,26,Male,Yes,4,NO
New Delhi,2017,Masters,2,25,Female,No,3,YES
New Delhi,2013,Masters,3,25,Female,No,3,NO
Bangalore,2016,Bachelors,3,25,Male,No,3,NO
Bangalore,2018,Bachelors,3,24,Male,No,2,YES
New Delhi,2017,Masters,2,26,Male,Yes,4,YES
Bangalore,2013,Bachelors,3,24,Male,No,2,NO
Bangalore,2013,Bachelors,3,28,Male,No,2,NO
Pune,2015,Masters,3,28,Female,Yes,2,NO
Pune,2015,Bachelors,2,27,Female,Yes,5,YES
Pune,2014,Masters,2,27,Female,No,5,NO
New Delhi,2017,Bachelors,2,27,Male,No,5,NO
Bangalore,2012,Bachelors,3,26,Male,No,4,NO
Pune,2015,Masters,1,27,Female,No,5,NO
Bangalore,2013,Bachelors,1,28,Male,No,3,YES
Pune,2012,Bachelors,2,26,Female,No,4,YES
Bangalore,2013,Bachelors,3,27,Male,No,5,NO
New Delhi,2017,Masters,2,25,Male,No,3,NO
Bangalore,2017,Bachelors,3,27,Male,No,5,NO
Bangalore,2012,Bachelors,3,24,Male,No,2,NO
New Delhi,2017,Bachelors,3,26,Male,No,4,NO
Bangalore,2014,Bachelors,3,28,Female,No,1,YES
Bangalore,2015,Bachelors,3,25,Male,No,3,NO
Pune,2015,Bachelors,2,28,Female,No,3,YES
Bangalore,2017,Bachelors,3,24,Female,No,2,NO
Bangalore,2016,Bachelors,3,27,Female,No,5,YES
Bangalore,2012,Bachelors,3,25,Male,No,3,NO
Pune,2018,Masters,3,25,Male,No,3,YES
Pune,2015,Bachelors,3,26,Male,No,4,NO
Pune,2014,Bachelors,3,26,Male,No,4,NO
New Delhi,2017,PHD,3,27,Male,No,5,NO
Bangalore,2012,Bachelors,3,26,Male,No,4,NO
Bangalore,2016,Bachelors,3,26,Male,No,4,NO
New Delhi,2017,Bachelors,3,28,Female,No,2,NO
Pune,2014,Bachelors,3,25,Female,No,3,NO
Bangalore,2013,Bachelors,3,28,Male,Yes,3,NO
Bangalore,2017,Bachelors,3,25,Male,No,3,NO
Bangalore,2018,Bachelors,3,27,Male,No,5,YES
Bangalore,2017,Bachelors,3,26,Male,No,4,NO
Pune,2017,Bachelors,2,25,Female,No,3,YES
Pune,2017,Bachelors,2,26,Female,No,4,YES
Pune,2015,Bachelors,3,28,Male,No,3,NO
Pune,2017,Masters,2,26,Male,No,4,YES
New Delhi,2015,Masters,3,28,Female,Yes,2,NO
New Delhi,2012,Bachelors,2,25,Male,No,3,YES
Bangalore,2016,Bachelors,3,25,Female,No,3,NO
New Delhi,2017,Masters,2,26,Female,No,4,NO
Bangalore,2014,Bachelors,3,25,Male,No,3,NO
Bangalore,2014,Bachelors,3,25,Male,No,3,YES
Bangalore,2018,PHD,3,26,Male,No,4,YES
Pune,2016,Bachelors,3,26,Male,No,4,NO
Bangalore,2014,Bachelors,3,27,Male,No,5,NO
Bangalore,2012,Bachelors,3,25,Male,No,3,NO
Pune,2012,Masters,2,26,Female,No,4,NO
New Delhi,2016,Masters,3,27,Male,No,5,YES
Bangalore,2017,PHD,3,28,Male,No,1,NO
Bangalore,2014,Bachelors,3,27,Male,No,5,NO
Pune,2018,Bachelors,3,26,Male,No,4,YES
Bangalore,2018,Bachelors,1,27,Male,No,5,NO
Pune,2016,Bachelors,3,24,Male,No,2,NO
Bangalore,2012,Bachelors,3,25,Male,No,3,NO
Bangalore,2017,Bachelors,3,27,Male,No,5,NO
Bangalore,2016,Bachelors,3,28,Male,No,2,NO
New Delhi,2017,Bachelors,2,27,Male,No,5,NO
Bangalore,2013,Bachelors,3,25,Male,No,3,NO
Bangalore,2013,Bachelors,3,28,Male,No,1,NO
Bangalore,2018,Bachelors,3,28,Female,No,3,YES
Bangalore,2016,Bachelors,3,27,Male,Yes,5,NO
Pune,2015,Masters,2,28,Female,No,3,NO
New Delhi,2015,Masters,3,24,Female,No,2,YES
New Delhi,2017,Bachelors,3,24,Male,No,2,NO
Pune,2015,Bachelors,2,24,Female,No,2,YES
Pune,2013,Masters,3,28,Male,No,2,YES
Pune,2017,Bachelors,3,27,Female,No,5,YES
Pune,2014,Bachelors,3,26,Male,No,4,NO
Bangalore,2016,Bachelors,3,26,Male,No,4,NO
Pune,2014,Bachelors,1,26,Female,No,4,YES
Pune,2015,Bachelors,3,28,Male,No,3,NO
Bangalore,2012,Bachelors,3,26,Male,No,4,NO
New Delhi,2017,Bachelors,2,26,Male,No,4,NO
New Delhi,2017,Masters,2,26,Female,No,4,NO
Bangalore,2016,Bachelors,3,26,Male,No,4,YES
Bangalore,2013,Bachelors,3,26,Male,Yes,4,NO
Bangalore,2014,Bachelors,3,28,Male,No,3,YES
New Delhi,2014,Bachelors,3,28,Female,No,3,NO
Pune,2014,Bachelors,3,25,Female,No,3,YES
Pune,2016,Bachelors,3,28,Male,No,3,NO
Bangalore,2017,Masters,3,27,Male,No,5,YES
Bangalore,2015,Bachelors,3,25,Male,No,3,NO
Pune,2014,Bachelors,3,27,Male,No,5,NO
Pune,2012,Bachelors,3,28,Male,No,3,NO
Pune,2017,Masters,3,26,Male,No,4,YES
Bangalore,2013,Bachelors,3,25,Male,Yes,3,NO
Pune,2015,Bachelors,2,28,Female,No,2,YES
Bangalore,2013,PHD,1,26,Male,No,4,NO
Pune,2012,Masters,3,27,Male,No,5,YES
Bangalore,2016,Bachelors,1,28,Male,No,2,NO
Bangalore,2017,Bachelors,3,27,Male,No,5,NO
Bangalore,2017,Bachelors,3,25,Male,No,3,NO
New Delhi,2017,Masters,2,24,Female,Yes,2,YES
Bangalore,2015,Bachelors,1,25,Female,Yes,3,NO
Bangalore,2018,Bachelors,3,27,Male,No,5,YES
Bangalore,2014,Bachelors,3,26,Male,No,4,NO
Bangalore,2018,Bachelors,3,26,Male,No,4,YES
Pune,2015,Bachelors,2,24,Female,No,2,YES
Bangalore,2018,Bachelors,3,27,Male,No,5,YES
Bangalore,2016,Bachelors,3,27,Female,No,5,NO
New Delhi,2016,Masters,3,25,Female,No,3,YES
New Delhi,2018,Masters,3,26,Male,No,4,YES
Bangalore,2018,Bachelors,3,24,Female,No,2,YES
New Delhi,2017,Bachelors,2,28,Male,No,3,NO
Bangalore,2015,Bachelors,3,27,Male,No,5,NO
Bangalore,2017,Bachelors,3,26,Male,No,4,NO
Bangalore,2016,Bachelors,3,25,Male,No,3,NO
Pune,2013,Bachelors,3,25,Male,No,3,NO
Pune,2015,Bachelors,3,25,Female,No,3,YES
Bangalore,2014,Bachelors,3,28,Female,No,3,NO
Pune,2015,Bachelors,3,24,Male,No,2,NO
Bangalore,2016,Bachelors,3,26,Female,No,4,NO
Bangalore,2018,Bachelors,1,25,Male,Yes,3,NO
Pune,2017,Masters,2,28,Female,No,1,NO
Pune,2014,Bachelors,2,25,Female,No,3,YES
Bangalore,2017,Bachelors,3,25,Male,No,3,NO
Bangalore,2016,Bachelors,3,28,Female,No,3,NO
Bangalore,2014,Bachelors,3,28,Female,No,2,NO
New Delhi,2017,Masters,2,28,Male,No,2,NO
New Delhi,2017,Bachelors,2,24,Female,No,2,NO
New Delhi,2013,PHD,2,25,Male,No,3,YES
Bangalore,2017,Bachelors,3,24,Male,No,2,NO
Bangalore,2017,Bachelors,3,26,Female,No,4,NO
Bangalore,2015,Bachelors,1,25,Male,No,3,NO
Bangalore,2016,Bachelors,3,26,Female,No,4,NO
New Delhi,2014,PHD,3,28,Male,No,2,YES
New Delhi,2018,Masters,3,27,Female,No,5,YES
New Delhi,2016,Bachelors,3,27,Female,No,5,NO
New Delhi,2017,Masters,2,25,Male,No,3,YES
Bangalore,2017,Bachelors,3,26,Male,No,4,NO
New Delhi,2016,Bachelors,3,27,Female,Yes,5,NO
Pune,2017,Bachelors,2,25,Female,No,3,YES
Pune,2018,Bachelors,3,28,Female,No,1,YES
Bangalore,2014,Bachelors,3,25,Female,No,3,YES
Pune,2018,Bachelors,3,28,Male,No,1,YES
Bangalore,2017,Bachelors,1,26,Female,No,4,NO
Bangalore,2013,Bachelors,3,24,Male,No,2,YES
New Delhi,2012,Bachelors,3,26,Female,No,4,NO
Pune,2012,Bachelors,3,25,Male,No,3,NO
New Delhi,2013,Masters,2,24,Male,No,2,YES
Pune,2018,Bachelors,3,26,Male,No,4,YES
New Delhi,2016,Bachelors,3,28,Female,No,2,NO
Pune,2016,Bachelors,3,26,Male,No,4,NO
New Delhi,2014,Masters,3,24,Male,No,2,NO
Bangalore,2013,Bachelors,3,26,Male,No,4,NO
Pune,2014,Bachelors,2,26,Female,No,4,YES
Pune,2014,Bachelors,3,25,Male,No,3,NO
Pune,2013,Bachelors,3,27,Male,No,5,NO
Bangalore,2018,Bachelors,3,27,Male,No,5,YES
Bangalore,2015,Bachelors,3,25,Female,No,3,YES
Pune,2016,Bachelors,3,26,Male,No,4,NO
Pune,2015,Bachelors,2,27,Female,No,5,YES
Bangalore,2017,Bachelors,3,26,Male,No,4,NO
Pune,2017,Masters,2,26,Female,No,4,NO
New Delhi,2017,Bachelors,3,27,Female,Yes,5,NO
