STT,Age,Gender,Stream,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot
578,21,Male,Civil,0,7,1,0,NO
579,22,Male,Electrical,1,8,0,0,YES
580,22,Male,Computer Science,0,6,0,0,NO
581,21,Male,Information Technology,0,7,0,0,NO
582,21,Male,Civil,1,8,0,0,YES
583,21,Male,Computer Science,1,7,0,0,NO
584,22,Male,Civil,0,7,1,0,YES
585,21,Male,Computer Science,2,7,0,1,NO
586,22,Female,Electronics And Communication,0,8,0,0,YES
587,21,Male,Computer Science,1,7,0,0,NO
588,22,Male,Computer Science,1,6,0,0,NO
589,21,Male,Computer Science,0,7,0,1,NO
590,21,Male,Electronics And Communication,1,7,0,0,YES
591,21,Male,Information Technology,1,8,0,1,YES
592,21,Male,Electronics And Communication,0,7,0,0,YES
593,22,Male,Information Technology,2,6,0,0,YES
594,22,Male,Computer Science,1,6,0,0,NO
595,21,Male,Electronics And Communication,0,7,0,0,YES
596,22,Male,Computer Science,1,6,0,0,YES
597,21,Male,Electronics And Communication,0,8,0,0,YES
598,22,Female,Information Technology,0,8,0,0,YES
599,22,Male,Information Technology,1,7,0,0,NO
600,21,Male,Information Technology,2,6,1,0,NO
601,21,Male,Computer Science,2,8,0,0,YES
602,22,Female,Information Technology,2,7,1,0,YES
603,21,Male,Computer Science,2,7,0,0,YES
604,21,Male,Information Technology,2,8,0,0,YES
605,21,Male,Computer Science,2,7,0,0,YES
606,22,Female,Information Technology,1,7,1,0,YES
607,22,Male,Computer Science,2,7,0,0,YES
608,21,Male,Electrical,1,8,0,0,YES
609,21,Male,Information Technology,2,7,0,1,NO
610,22,Male,Computer Science,1,8,0,1,YES
611,21,Male,Computer Science,1,7,0,0,NO
612,21,Male,Civil,2,6,0,0,NO
613,22,Male,Electrical,1,6,0,0,NO
614,21,Male,Information Technology,1,8,0,1,YES
615,21,Male,Electronics And Communication,1,7,0,0,NO
616,21,Male,Electrical,1,7,0,1,YES
617,21,Male,Electrical,2,8,0,0,YES
618,22,Male,Electronics And Communication,1,8,0,0,YES
619,22,Male,Mechanical,1,8,1,0,YES
620,21,Male,Civil,2,8,1,1,YES
621,22,Female,Computer Science,1,6,1,0,YES
622,22,Male,Electrical,2,6,0,0,YES
623,22,Male,Mechanical,2,7,1,0,YES
624,22,Female,Electronics And Communication,1,7,0,0,YES
625,22,Female,Electronics And Communication,2,8,0,0,YES
626,22,Male,Electronics And Communication,1,8,0,0,YES
627,21,Male,Mechanical,1,6,1,0,NO
